STN,WBAN,YEARMODA,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,A,B,C,D,E,F
699604,03145,20110130,57.3,24,33.8,24,1016.6,24,1008.9,24,10.0,24,4.0,24,13.0,18.1,72.0,46.0,0.00G,999.9,000000
699604,03145,20110131,58.7,24,35.4,24,1015.6,24,1008.0,24,10.0,24,9.2,24,17.1,26.0,72.0,46.9,0.00G,999.9,000000
699604,03145,20110201,56.5,24,27.8,24,1016.0,24,1008.3,24,10.0,24,4.7,24,12.0,19.0,70.0,42.1,0.00G,999.9,000000
699604,03145,20110202,48.4,24,-5.6,24,1025.2,24,1017.4,24,9.9,24,13.4,24,19.0,27.0,66.0,37.9,0.00G,999.9,000000
699604,03145,20110203,41.6,24,-10.7,24,1031.6,24,1023.7,24,10.0,24,5.2,24,11.1,999.9,54.0,30.0,0.00G,999.9,000000
699604,03145,20110204,44.1,24,5.0,24,1027.1,24,1019.2,24,9.8,24,2.9,24,8.9,999.9,61.0,33.1,0.00G,999.9,000000
699604,03145,20110205,52.7,24,14.7,24,1019.9,24,1012.1,24,9.9,24,3.1,24,7.0,999.9,71.1,41.0,0.00G,999.9,000000
699604,03145,20110206,60.4,24,28.9,24,1017.4,24,1009.8,24,10.0,24,4.4,24,13.0,18.1,79.0,44.1,0.00G,999.9,000000
699604,03145,20110207,66.2,24,24.9,24,1020.6,24,1012.9,24,10.0,24,5.9,24,9.9,999.9,77.0,52.0,0.00G,999.9,000000
699604,03145,20110208,62.0,24,22.6,24,1010.3,24,1002.7,24,10.0,24,7.2,24,19.0,26.0,75.0,53.1,0.00G,999.9,000000
699604,03145,20110209,59.7,24,13.1,24,1016.9,24,1009.3,24,10.0,24,6.7,24,11.1,18.1,70.0,50.0,0.00G,999.9,000000
699604,03145,20110210,58.3,24,8.6,24,1018.4,24,1010.8,24,10.0,24,10.6,24,19.0,27.0,66.9,50.0,0.00G,999.9,000000
699604,03145,20110211,58.0,24,9.0,24,1020.1,24,1012.4,24,10.0,24,6.1,24,11.1,999.9,73.0,42.1,0.00G,999.9,000000
699604,03145,20110212,60.2,24,13.5,24,1023.6,24,1015.9,24,10.0,24,5.0,24,9.9,999.9,80.1,42.1,0.00G,999.9,000000
699604,03145,20110213,60.8,24,15.7,24,1019.8,24,1012.2,24,10.0,24,3.3,24,8.0,999.9,78.1,45.0,0.00G,999.9,000000
699604,03145,20110214,61.2,24,17.8,24,1018.6,24,1010.9,23,10.0,23,2.0,23,5.1,999.9,78.1,48.0,0.00G,999.9,000000
699604,03145,20110215,62.2,24,28.2,24,1018.0,24,1010.3,24,9.8,24,2.8,24,12.0,999.9,75.9,46.9,0.00G,999.9,000000
699604,03145,20110216,65.1,24,39.5,24,1013.7,24,1006.1,24,10.0,24,4.5,24,9.9,999.9,78.1,52.0,0.00G,999.9,000000
699604,03145,20110217,62.0,24,32.7,24,1014.4,24,1006.8,24,10.0,24,7.5,24,13.0,20.0,71.1,53.1,0.00G,999.9,000000
699604,03145,20110218,57.7,24,33.5,24,1015.0,24,1007.4,24,10.0,24,3.4,24,8.9,999.9,66.0,50.0,0.00G,999.9,000000
699604,03145,20110219,58.0,24,43.0,24,1011.5,21,1003.8,24,9.1,24,5.2,24,12.0,999.9,64.0,51.8,0.00G,999.9,010010
699604,03145,20110220,54.6,24,39.2,24,1014.5,24,1006.8,24,10.0,24,6.3,24,15.9,22.0,60.1,48.0,0.49G,999.9,010000
699604,03145,20110221,53.3,24,33.6,24,1015.9,24,1008.2,24,10.0,24,2.4,24,7.0,999.9,64.0,45.0,0.00G,999.9,000000
699604,03145,20110222,54.7,24,34.5,24,1014.9,24,1007.2,24,10.0,24,1.0,24,7.0,999.9,64.9,45.0,0.00G,999.9,000000
699604,03145,20110223,55.4,24,37.9,24,1015.2,24,1007.5,24,10.0,24,3.0,24,12.0,14.0,66.9,45.0,0.00G,999.9,000000
699604,03145,20110224,56.6,24,34.4,24,1018.2,24,1010.5,24,10.0,24,5.0,24,8.0,999.9,66.0,45.0,0.00G,999.9,000000
699604,03145,20110225,56.1,24,34.8,24,1017.4,24,1009.7,24,10.0,24,2.8,24,7.0,999.9,66.0,46.0,0.00G,999.9,000000
699604,03145,20110226,57.0,24,35.5,24,1008.9,24,1001.3,24,10.0,24,5.8,24,15.9,20.0,66.0,51.1,0.00G,999.9,010000
699604,03145,20110227,50.1,24,31.4,24,1011.3,24,1003.7,24,10.0,24,6.5,24,15.0,22.0,60.1,41.0,0.04G,999.9,010000
699604,03145,20110228,53.7,24,27.2,24,1023.0,24,1015.2,24,10.0,24,3.1,24,7.0,999.9,68.0,43.0,0.00G,999.9,000000
699604,03145,20110301,57.3,24,31.3,24,1019.9,24,1012.2,24,10.0,24,3.0,24,8.0,999.9,72.0,45.0,0.00G,999.9,000000
699604,03145,20110302,61.6,24,33.4,24,1018.6,24,1010.9,24,10.0,24,2.5,24,7.0,999.9,77.0,48.0,0.00G,999.9,000000
699604,03145,20110303,67.8,24,39.4,24,1017.5,24,1009.9,24,10.0,24,4.6,24,13.0,17.1,81.0,55.9,0.00G,999.9,000000
699604,03145,20110304,68.3,24,34.0,24,1017.3,24,1009.7,24,10.0,24,7.3,24,15.0,25.1,81.0,55.0,0.00G,999.9,000000
699604,03145,20110305,68.9,24,18.8,24,1019.7,24,1012.1,24,10.0,24,7.1,24,12.0,18.1,82.9,55.0,0.00G,999.9,000000
699604,03145,20110306,68.1,24,25.3,24,1012.6,24,1005.0,24,10.0,24,3.1,24,11.1,999.9,82.9,55.0,0.00G,999.9,000000
699604,03145,20110307,68.7,24,38.9,24,1007.7,24,1000.2,24,10.0,24,13.1,24,20.0,32.1,78.1,62.1,0.00G,999.9,000000
699604,03145,20110308,62.3,24,27.3,24,1013.7,24,1006.1,24,10.0,24,10.0,24,18.1,28.0,73.9,50.0,0.00G,999.9,000000
699604,03145,20110309,66.1,24,19.2,24,1020.9,24,1013.2,24,10.0,24,5.1,24,14.0,999.9,82.0,52.0,0.00G,999.9,000000
699604,03145,20110310,70.1,24,29.8,24,1019.0,24,1011.4,24,10.0,24,3.4,24,8.0,999.9,88.0,55.9,0.00G,999.9,000000
699604,03145,20110311,71.3,24,32.1,24,1013.8,24,1006.3,24,10.0,24,2.8,24,8.0,999.9,87.1,55.0,0.00G,999.9,000000
699604,03145,20110312,71.2,24,30.6,24,1013.1,24,1005.5,24,10.0,24,3.3,24,8.0,999.9,84.9,55.9,0.00G,999.9,000000
699604,03145,20110313,69.8,24,35.8,24,1015.6,24,1008.0,24,10.0,24,2.5,24,7.0,999.9,84.9,55.9,0.00G,999.9,000000
699604,03145,20110314,72.0,24,35.6,24,1016.9,24,1009.3,24,10.0,24,2.2,24,7.0,999.9,86.0,55.0,0.00G,999.9,000000
699604,03145,20110315,74.3,24,36.9,24,1014.4,24,1006.9,24,9.8,24,2.8,24,11.1,999.9,89.1,60.1,0.00G,999.9,000000
699604,03145,20110316,75.3,24,39.5,24,1013.5,24,1006.0,24,10.0,24,4.1,24,9.9,14.0,91.9,60.1,0.00G,999.9,000000
699604,03145,20110317,74.7,24,39.7,24,1013.5,24,1006.0,24,10.0,24,3.5,24,9.9,999.9,88.0,60.1,0.00G,999.9,000000
699604,03145,20110318,73.9,24,21.3,24,1015.4,24,1007.9,24,10.0,24,5.3,24,9.9,999.9,84.9,63.0,0.00G,999.9,000000
699604,03145,20110319,65.4,24,22.8,24,1015.3,24,1007.8,24,10.0,24,8.0,24,17.1,22.9,80.1,53.1,0.00G,999.9,000000
699604,03145,20110320,64.8,24,33.0,24,1011.5,24,1003.9,24,10.0,24,5.1,24,20.0,25.1,78.1,57.0,0.00G,999.9,000000
699604,03145,20110321,65.4,24,31.1,24,1007.9,24,1000.4,24,8.8,24,10.6,24,18.1,21.0,75.9,57.0,0.00G,999.9,000000
699604,03145,20110322,58.6,24,32.1,24,1016.9,24,1009.2,24,10.0,24,8.7,24,15.0,21.0,68.0,48.9,0.00G,999.9,000000
699604,03145,20110323,61.1,24,29.8,24,1015.2,24,1007.5,24,10.0,24,2.4,24,7.0,999.9,75.0,48.0,0.00G,999.9,000000
699604,03145,20110324,63.0,24,30.6,24,1013.5,24,1005.9,24,10.0,24,8.1,24,14.0,19.0,73.9,54.0,0.00G,999.9,000000
699604,03145,20110325,62.9,24,35.1,24,1014.1,24,1006.4,24,9.9,24,9.2,24,17.1,28.0,75.0,52.0,0.00G,999.9,000000
699604,03145,20110326,62.4,24,35.3,24,1012.3,24,1004.6,24,10.0,24,8.5,24,15.9,22.9,73.0,53.1,0.00G,999.9,000000
699604,03145,20110327,62.5,24,38.7,24,1012.0,24,1004.3,24,10.0,24,6.3,24,14.0,24.1,75.0,52.0,0.00G,999.9,000000
699604,03145,20110328,66.9,24,40.7,24,1011.0,24,1003.5,24,10.0,24,3.6,24,8.0,999.9,82.0,54.0,0.00G,999.9,000000
699604,03145,20110329,72.2,24,40.0,24,1012.1,24,1004.5,24,10.0,24,3.1,24,8.0,999.9,89.1,57.0,0.00G,999.9,000000
699604,03145,20110330,75.2,24,32.2,24,1014.0,24,1006.5,24,10.0,24,4.8,24,13.0,19.0,91.0,59.0,0.00G,999.9,000000
699604,03145,20110331,81.3,24,34.4,24,1012.9,24,1005.4,24,10.0,24,7.5,24,12.0,21.0,99.0,68.0,0.00G,999.9,000000
699604,03145,20110401,83.8,24,32.9,24,1007.9,24,1000.4,24,10.0,24,4.0,24,8.9,999.9,100.9,64.9,0.00G,999.9,000000
699604,03145,20110402,83.5,24,37.5,24,1006.3,24,998.9,24,10.0,24,6.5,24,12.0,17.1,98.1,72.0,0.00G,999.9,000000
699604,03145,20110403,75.3,24,38.8,24,1008.9,24,1001.5,24,10.0,24,8.0,24,14.0,15.9,89.1,63.0,0.00G,999.9,000000
699604,03145,20110404,74.9,24,26.1,24,1015.2,24,1007.6,24,10.0,24,9.3,24,18.1,25.1,84.9,64.9,0.00G,999.9,000000
699604,03145,20110405,73.4,24,19.6,24,1013.3,24,1005.7,24,10.0,24,3.9,24,8.9,999.9,87.1,60.1,0.00G,999.9,000000
699604,03145,20110406,75.4,24,28.2,24,1009.3,24,1001.9,24,10.0,24,3.7,24,8.0,999.9,88.0,64.0,0.00G,999.9,000000
699604,03145,20110407,72.3,24,39.9,24,1008.7,24,1001.2,24,10.0,24,7.2,24,17.1,27.0,86.0,61.0,0.00G,999.9,000000
699604,03145,20110408,59.3,24,36.5,24,1007.5,24,999.9,24,9.9,24,7.0,24,18.1,24.1,75.9,53.1,0.00G,999.9,010000
699604,03145,20110409,54.3,24,37.0,24,1011.2,24,1003.6,24,10.0,24,6.1,24,9.9,15.9,64.9,48.0,0.12G,999.9,010000
699604,03145,20110410,59.5,24,30.5,24,1020.5,24,1012.8,24,10.0,24,4.0,24,8.0,999.9,73.9,48.0,0.00G,999.9,000000
699604,03145,20110411,66.0,24,29.6,24,1020.6,24,1013.0,24,10.0,24,3.6,24,9.9,999.9,80.1,54.0,0.00G,999.9,000000
699604,03145,20110412,69.1,24,32.8,24,1012.5,24,1004.9,24,10.0,24,4.0,24,11.1,15.0,84.0,55.0,0.00G,999.9,000000
699604,03145,20110413,70.7,24,31.7,24,1013.2,24,1005.6,24,10.0,24,5.5,24,14.0,21.0,82.9,59.0,0.00G,999.9,000000
699604,03145,20110414,68.5,24,23.3,24,1018.3,24,1010.7,24,10.0,24,10.1,24,18.1,25.1,82.0,55.9,0.00G,999.9,000000
699604,03145,20110415,73.6,24,15.8,24,1016.8,24,1009.2,24,10.0,24,6.4,24,12.0,14.0,89.1,60.1,0.00G,999.9,000000
699604,03145,20110416,80.3,24,22.0,24,1010.2,24,1002.7,24,10.0,24,6.2,24,13.0,15.9,99.0,63.0,0.00G,999.9,000000
699604,03145,20110417,81.6,24,36.0,24,1006.5,24,999.1,24,10.0,24,5.0,24,11.1,999.9,97.0,64.9,0.00G,999.9,000000
699604,03145,20110418,79.7,24,42.8,24,1006.3,24,998.9,24,10.0,24,12.5,24,18.1,22.0,93.0,68.0,0.00G,999.9,000000
699604,03145,20110419,75.0,24,45.0,24,1008.5,24,1001.1,24,10.0,24,6.7,24,14.0,19.0,87.1,63.0,0.00G,999.9,000000
699604,03145,20110420,75.3,24,43.3,24,1010.3,24,1002.8,24,10.0,24,5.2,24,8.9,999.9,91.0,60.1,0.00G,999.9,000000
699604,03145,20110421,76.7,24,45.9,24,1011.1,24,1003.6,24,10.0,24,8.0,24,17.1,22.0,90.0,64.0,0.00G,999.9,000000
699604,03145,20110422,74.4,24,36.6,24,1009.2,24,1001.8,24,10.0,24,7.8,24,19.0,28.0,89.1,59.0,0.00G,999.9,000000
699604,03145,20110423,76.3,24,38.9,24,1007.7,24,1000.3,24,10.0,24,8.7,24,15.9,24.1,89.1,66.0,0.00G,999.9,000000
699604,03145,20110424,74.6,24,43.3,24,1009.4,24,1001.9,24,10.0,24,11.8,24,18.1,24.1,87.1,64.0,0.00G,999.9,000000
699604,03145,20110425,72.5,24,39.4,24,1011.7,24,1004.1,24,9.9,24,8.0,24,24.1,34.0,88.0,60.1,0.00G,999.9,000000
699604,03145,20110426,78.0,24,34.7,24,1008.1,24,1000.7,24,10.0,24,7.5,24,14.0,19.0,90.0,68.0,0.11G,999.9,000000
699604,03145,20110427,77.7,24,15.5,24,1011.7,24,1004.3,24,10.0,24,5.0,24,9.9,999.9,91.0,64.0,0.00G,999.9,000000
699604,03145,20110428,80.5,24,22.9,24,1013.1,24,1005.7,24,10.0,24,3.5,24,7.0,999.9,97.0,63.0,0.00G,999.9,000000
699604,03145,20110429,81.4,24,33.6,24,1008.2,24,1000.8,24,10.0,24,9.8,24,19.0,28.0,95.0,70.0,0.00G,999.9,000000
699604,03145,20110430,74.5,24,9.3,24,1011.0,24,1003.5,24,10.0,24,13.7,24,18.1,28.9,89.1,64.0,0.00G,999.9,000000
699604,03145,20110501,71.0,24,5.3,24,1015.9,24,1008.3,24,10.0,24,10.5,24,21.0,28.9,82.0,60.1,0.00G,999.9,000000
699604,03145,20110502,74.0,24,5.3,24,1020.2,24,1012.6,24,10.0,24,6.9,24,11.1,22.9,88.0,59.0,0.00G,999.9,000000
699604,03145,20110503,77.9,24,11.7,24,1016.7,24,1009.2,24,10.0,24,5.6,24,9.9,18.1,95.0,61.0,0.00G,999.9,000000
699604,03145,20110504,82.0,24,20.1,24,1012.1,24,1004.7,24,10.0,24,3.9,24,7.0,999.9,99.0,64.9,0.00G,999.9,000000
699604,03145,20110505,82.0,24,27.2,24,1012.4,24,1005.0,24,10.0,24,3.2,24,8.0,999.9,100.0,63.0,0.00G,999.9,000000
699604,03145,20110506,84.7,24,26.7,24,1009.3,24,1001.9,24,10.0,24,4.3,24,8.9,999.9,100.9,68.0,0.00G,999.9,000000
699604,03145,20110507,83.5,24,27.9,24,1007.0,24,999.6,24,10.0,24,5.0,24,13.0,999.9,100.0,66.0,0.00G,999.9,000000
699604,03145,20110508,79.7,24,36.3,24,1006.1,24,998.8,24,10.0,24,7.3,24,19.0,26.0,97.0,64.0,0.00G,999.9,000000
699604,03145,20110509,69.2,24,36.8,24,1007.1,24,999.6,24,9.7,24,14.9,24,22.0,33.0,82.9,60.1,0.00G,999.9,000000
699604,03145,20110510,66.1,24,34.4,24,1008.1,24,1000.6,24,10.0,24,11.9,24,22.0,28.9,81.0,55.9,0.00G,999.9,000000
699604,03145,20110511,72.1,24,34.4,24,1010.7,24,1003.1,24,10.0,24,5.7,24,9.9,14.0,88.0,57.0,0.00G,999.9,000000
699604,03145,20110512,78.7,24,35.6,24,1013.4,24,1005.9,24,10.0,24,3.4,24,8.9,999.9,93.9,63.0,0.00G,999.9,000000
699604,03145,20110513,83.8,24,35.0,24,1010.9,24,1003.4,24,10.0,24,3.0,24,9.9,15.9,98.1,68.0,0.00G,999.9,000000
699604,03145,20110514,81.4,24,36.1,24,1007.0,24,999.6,24,10.0,24,4.6,24,11.1,999.9,97.0,66.0,0.00G,999.9,000000
699604,03145,20110515,75.9,24,35.3,24,1008.8,24,1001.3,24,10.0,24,10.8,24,17.1,25.1,93.9,64.0,0.00G,999.9,000000
699604,03145,20110516,67.2,24,29.0,24,1012.1,24,1004.6,24,10.0,24,10.6,24,18.1,24.1,80.1,55.9,0.00G,999.9,000000
699604,03145,20110517,69.1,24,34.8,24,1011.4,24,1003.9,24,10.0,24,12.2,24,18.1,26.0,82.0,59.0,0.00G,999.9,000000
699604,03145,20110518,70.0,24,39.5,24,1006.8,24,999.3,24,9.3,24,12.8,24,22.9,31.1,78.1,60.1,0.00G,999.9,000000
699604,03145,20110519,65.8,24,36.1,24,1008.2,22,1000.6,24,9.4,24,9.5,24,26.0,35.0,82.0,54.0,0.00G,999.9,000000
699604,03145,20110520,72.9,24,42.1,24,1012.1,24,1004.6,24,10.0,24,4.8,24,9.9,999.9,89.1,59.0,0.00G,999.9,000000
699604,03145,20110521,78.7,24,32.6,24,1010.8,24,1003.3,24,10.0,24,4.4,24,9.9,999.9,93.9,64.9,0.00G,999.9,000000
699604,03145,20110522,80.4,24,34.7,24,1007.6,24,1000.2,24,10.0,24,5.8,24,15.0,20.0,93.0,64.9,0.00G,999.9,000000
699604,03145,20110523,77.2,24,35.1,24,1007.8,24,1000.4,24,10.0,24,6.1,24,18.1,28.0,91.0,64.9,0.00G,999.9,000000
699604,03145,20110524,73.0,24,31.8,24,1010.0,24,1002.5,24,9.9,24,7.2,24,19.0,26.0,91.0,59.0,0.00G,999.9,000000
699604,03145,20110525,80.1,24,35.0,24,1011.3,24,1003.9,24,10.0,24,3.5,24,8.0,999.9,98.1,64.9,0.00G,999.9,000000
699604,03145,20110526,84.9,24,28.4,24,1009.5,24,1002.1,24,10.0,24,7.2,24,15.9,22.9,98.1,71.1,0.00G,999.9,000000
699604,03145,20110527,85.2,24,33.6,24,1007.6,24,1000.2,24,10.0,24,5.0,24,12.0,18.1,102.0,70.0,0.00G,999.9,000000
699604,03145,20110528,87.1,24,42.3,24,1004.0,24,996.6,24,10.0,24,8.0,24,17.1,22.9,102.0,70.0,0.00G,999.9,000000
699604,03145,20110529,74.7,24,37.6,24,1001.9,23,994.6,24,8.3,24,16.2,24,26.0,36.9,91.9,64.0,0.00G,999.9,000000
699604,03145,20110530,69.3,24,29.9,24,1010.6,24,1003.1,24,10.0,24,7.8,24,22.9,33.0,87.1,55.9,0.00G,999.9,000000
699604,03145,20110531,78.6,24,21.9,24,1012.6,24,1005.1,24,9.6,24,3.5,24,8.9,999.9,96.1,63.0,0.00G,999.9,000000
699604,03145,20110601,82.3,24,24.6,24,1011.2,24,1003.8,24,10.0,24,5.3,24,9.9,999.9,93.9,69.1,0.00G,999.9,000000
699604,03145,20110602,78.8,24,26.9,24,1011.1,24,1003.7,24,10.0,24,7.5,24,15.0,21.0,91.9,64.0,0.00G,999.9,000000
699604,03145,20110603,80.6,24,24.2,24,1008.3,24,1000.9,24,10.0,24,3.9,24,8.0,15.0,93.9,66.0,0.00G,999.9,000000
699604,03145,20110604,81.2,24,32.2,24,1009.5,24,1002.1,24,10.0,24,4.7,24,9.9,999.9,96.1,66.0,0.00G,999.9,000000
699604,03145,20110605,84.4,24,24.3,24,1011.3,24,1003.8,24,10.0,24,3.1,24,8.9,999.9,102.0,68.0,0.00G,999.9,000000
699604,03145,20110606,81.8,24,35.1,24,1010.6,24,1003.1,24,10.0,24,10.9,24,17.1,22.0,100.9,69.1,0.00G,999.9,000000
699604,03145,20110607,80.6,24,33.3,24,1008.9,24,1001.5,24,10.0,24,3.8,24,7.0,999.9,93.9,66.0,0.00G,999.9,000000
699604,03145,20110608,81.7,24,33.0,24,1008.2,24,1000.8,24,10.0,24,8.0,24,12.0,20.0,93.9,70.0,0.00G,999.9,000000
699604,03145,20110609,82.9,24,41.5,24,1009.0,24,1001.6,24,9.9,24,4.7,24,8.0,999.9,97.0,69.1,0.00G,999.9,000000
699604,03145,20110610,85.2,24,40.9,24,1008.1,24,1000.7,24,10.0,24,5.5,24,9.9,15.9,99.0,71.1,0.00G,999.9,000000
699604,03145,20110611,85.2,24,39.9,24,1006.2,24,998.9,24,10.0,24,6.2,24,11.1,15.9,100.9,72.0,0.00G,999.9,000000
699604,03145,20110612,85.0,24,36.6,24,1004.8,24,997.5,24,10.0,24,5.1,24,12.0,15.0,99.0,68.0,0.00G,999.9,000000
699604,03145,20110613,87.1,24,34.4,24,1008.1,24,1000.6,24,10.0,24,4.5,24,15.9,999.9,100.0,75.0,0.00G,999.9,000000
699604,03145,20110614,89.1,24,47.0,24,1009.3,24,1002.0,24,9.6,24,2.0,24,8.0,999.9,104.0,75.0,0.00G,999.9,000000
699604,03145,20110615,92.1,24,43.7,24,1005.8,24,998.5,24,10.0,24,4.8,24,8.9,14.0,108.0,79.0,0.00G,999.9,000000
699604,03145,20110616,90.4,24,42.4,24,1002.5,24,995.2,24,10.0,24,5.9,24,12.0,19.0,107.1,75.0,0.00G,999.9,000000
699604,03145,20110617,89.1,24,39.4,24,1003.8,24,996.5,24,10.0,24,4.5,24,14.0,999.9,105.1,73.0,0.00G,999.9,000000
699604,03145,20110618,89.9,24,25.2,24,1006.1,24,998.7,24,10.0,24,5.4,24,9.9,999.9,104.0,77.0,0.00G,999.9,000000
699604,03145,20110619,88.4,24,35.3,24,1003.2,24,995.9,24,10.0,24,6.7,24,13.0,14.0,104.0,73.0,0.00G,999.9,000000
699604,03145,20110620,90.2,24,45.3,24,1003.0,24,995.7,24,10.0,24,3.6,24,11.1,999.9,106.0,75.9,0.00G,999.9,000000
699604,03145,20110621,93.8,24,43.1,24,1003.8,24,996.6,24,10.0,24,3.7,24,8.0,999.9,109.9,78.1,0.00G,999.9,000000
699604,03145,20110622,95.7,24,42.5,24,1004.8,24,997.6,24,10.0,24,5.6,24,13.0,15.9,111.0,80.1,0.00G,999.9,000000
699604,03145,20110623,93.8,24,52.7,24,1006.0,24,998.7,24,10.0,24,9.1,24,17.1,18.1,108.0,80.1,0.00G,999.9,000000
699604,03145,20110624,93.6,24,48.5,24,1005.8,24,998.5,24,9.7,24,4.9,24,13.0,14.0,109.0,81.0,0.00G,999.9,000000
699604,03145,20110625,96.0,24,35.6,24,1004.7,24,997.4,24,10.0,24,4.4,24,8.9,999.9,109.9,84.9,0.00G,999.9,000000
699604,03145,20110626,97.0,24,32.0,24,1004.3,24,997.0,24,9.9,24,6.2,24,9.9,15.0,111.0,82.9,0.00G,999.9,000000
699604,03145,20110627,96.0,24,37.1,24,1003.7,24,996.4,24,10.0,24,3.4,24,7.0,999.9,114.1,77.0,0.00G,999.9,000000
699604,03145,20110628,96.6,24,51.2,24,1003.9,24,996.7,24,10.0,24,8.5,24,15.0,19.0,114.1,82.0,0.00G,999.9,000000
699604,03145,20110629,94.4,24,55.5,24,1004.3,24,997.0,24,10.0,24,5.6,24,14.0,999.9,107.1,84.0,0.00G,999.9,000000
699604,03145,20110630,91.0,24,37.8,24,1006.4,24,999.1,24,9.8,24,7.6,24,15.9,22.9,107.1,77.0,0.00G,999.9,000000
699604,03145,20110701,93.6,24,31.2,24,1004.2,24,996.9,24,10.0,24,2.7,24,8.0,14.0,111.0,75.9,0.00G,999.9,000000
